id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22202943,Wan Chai灣仔@Steps away from the metro&bus/tram stop,162242329,Leo,Wan Chai,22.27645225,114.1707853,Private room,298,2,73,10/11/2018,6.58,1,0
18341417,Airport/AsiaWorldExpo/Disneyland Modern Apartment,4131027,Ogi,Islands,22.30172739,114.0120831,Entire home/apt,1003,2,70,10/11/2018,3.73,1,4
23310485,★★ Live in Serenity ★★ Tsim Sha Tsui,125633965,Manon,Yau Tsim Mong,22.29763371,114.1713399,Entire home/apt,501,1,59,10/11/2018,6.94,1,76
23313413,••❤•❤ Lovely Studio ❤•❤•• Tsim Sha Tsui,60182400,Alyssa,Yau Tsim Mong,22.30285163,114.1760718,Entire home/apt,501,1,58,10/11/2018,6.85,1,146
23532889,★★ DELUXE STUDIO ★★ Tsim Sha Tsui,133621796,Andrew,Yau Tsim Mong,22.29872071,114.174793,Entire home/apt,548,1,52,10/11/2018,6.5,1,136
7242433,Luxury brand New Flat Stylish Amenities Mid Level,19822153,Stacey,Central & Western,22.28364109,114.1470403,Entire home/apt,1167,3,49,10/11/2018,1.21,1,116
23313994,❤❤ Lovely Studio ❤❤ center of TST,102340239,Kasey,Yau Tsim Mong,22.29897339,114.1734978,Entire home/apt,447,1,49,10/11/2018,5.93,1,115
22763046,JORDAN 佐敦: Comfortable room in great location,115151311,James,Yau Tsim Mong,22.30354296,114.1678787,Private room,180,2,43,10/11/2018,4.49,1,28
24010131,Comfy Apartment near Prince Edward MTR Station,44049462,Wingching,Yau Tsim Mong,22.32519453,114.1660176,Entire home/apt,854,1,31,10/11/2018,4.21,1,76
13893108,Privacy arts big bedroom/bathroom5+,52416773,Miko,Islands,22.29463246,113.9512801,Private room,752,2,25,10/11/2018,0.9,1,74
25383052,Newly Renovated Modern Luxe Lofts Studio/Near MTR,190389630,Vic,Sham Shui Po,22.33061713,114.1645699,Entire home/apt,447,6,23,10/11/2018,4.06,1,95
25656663,5人宿泊可能 日本人ｵｰﾅｰのきれいなお部屋 ﾓﾊﾞｲﾙwifi無料 24時間荷物預かり可能,193200229,Alice,Yau Tsim Mong,22.29615134,114.1728342,Entire home/apt,1300,1,20,10/11/2018,4.03,1,132
17672629,"Beautiful studio, amazing location!",294714,Katya,Central & Western,22.28259451,114.1539917,Entire home/apt,1003,1,19,10/11/2018,1.02,1,50
23661495,Private room for one lady in Tung Chung Pa Mei.,6691543,Noel,Islands,22.27950781,113.9429619,Shared room,204,3,8,10/11/2018,0.97,1,46
25430052,Spacious studio in the heart of Quarry Bay,96641771,Bhavneet,Eastern,22.2865342,114.2114956,Entire home/apt,501,2,3,10/11/2018,0.83,1,178
29665427,Nice apartment to rent in November,28738366,Emma,Sham Shui Po,22.33545863,114.148632,Entire home/apt,697,1,2,10/11/2018,2,1,3
29650102,工業風 INS 乾淨房間 位於太子旺角中心點 九龍中心點 地道美食 飲食消閒 10分鐘到地鐵,222854596,Gebling,Yau Tsim Mong,22.32490207,114.1637414,Entire home/apt,697,1,2,10/11/2018,2,1,32
29469685,Shenzhen Envelop,108214343,Josiah,North,22.53621364,114.1166108,Entire home/apt,353,1,2,10/11/2018,2,1,82
11246705,❤❤ Peaceful Apartment ❤❤ Tsim Sha Tsui,58669204,Kylie,Yau Tsim Mong,22.29659464,114.1721986,Entire home/apt,548,1,263,9/11/2018,8.01,1,120
11744144,☙  Cozy Big Studio in TST near MTR  ☙,62484797,Hannah,Yau Tsim Mong,22.29851281,114.1732215,Entire home/apt,548,1,256,9/11/2018,7.9,1,120
2472517,2 BR Apt w/ Abundant Daylight.,12326516,Ck,Yau Tsim Mong,22.3137562,114.1676473,Entire home/apt,901,1,234,9/11/2018,4.12,1,241
